Time elapsed	Time stamp	Settings Illumination area	Settings Min voltage	Settings Max voltage	Settings Stepwidth SMU	Settings Reverse polarity	Settings 2 User Name	Settings 2 OSOL Number	Settings 2 Comment	Settings 2 Lesker type	SAMPLE filter wheel optimization Filter	SAMPLE filter wheel measurement Filter	SAMPLE SMU measurement Voltage	SAMPLE SMU measurement Current	SAMPLE current density current_density	SAMPLE voltage voltage
s		mm^2	V	V	V								V	A	mA/cm2	V

7.47686849e+02	2024-06-11T13:30:09.766215	6.44000000e+00	-1.50000000e+00	2.00000000e+00	2.00000000e-02	0	Group5	25678	Old SMU	Lesker4x4	2	2	-1.50000000e+00	-1.70456000e-04	-2.64683230e+00	1.50000000e+00
7.48172966e+02	2024-06-11T13:30:10.248187	6.44000000e+00	-1.50000000e+00	2.00000000e+00	2.00000000e-02	0	Group5	25678	Old SMU	Lesker4x4	2	2	-1.48000000e+00	-1.73302800e-04	-2.69103727e+00	1.48000000e+00
7.48749301e+02	2024-06-11T13:30:10.821455	6.44000000e+00	-1.50000000e+00	2.00000000e+00	2.00000000e-02	0	Group5	25678	Old SMU	Lesker4x4	2	2	-1.46000000e+00	-1.68044000e-04	-2.60937888e+00	1.46000000e+00
7.49277923e+02	2024-06-11T13:30:11.352009	6.44000000e+00	-1.50000000e+00	2.00000000e+00	2.00000000e-02	0	Group5	25678	Old SMU	Lesker4x4	2	2	-1.44000000e+00	-1.67077300e-04	-2.59436801e+00	1.44000000e+00
7.49771319e+02	2024-06-11T13:30:11.852009	6.44000000e+00	-1.50000000e+00	2.00000000e+00	2.00000000e-02	0	Group5	25678	Old SMU	Lesker4x4	2	2	-1.42000000e+00	-1.65677200e-04	-2.57262733e+00	1.42000000e+00
7.50276243e+02	2024-06-11T13:30:12.351971	6.44000000e+00	-1.50000000e+00	2.00000000e+00	2.00000000e-02	0	Group5	25678	Old SMU	Lesker4x4	2	2	-1.40000000e+00	-1.63347600e-04	-2.53645342e+00	1.40000000e+00
7.50795450e+02	2024-06-11T13:30:12.872655	6.44000000e+00	-1.50000000e+00	2.00000000e+00	2.00000000e-02	0	Group5	25678	Old SMU	Lesker4x4	2	2	-1.38000000e+00	-1.63455300e-04	-2.53812578e+00	1.38000000e+00
7.51276747e+02	2024-06-11T13:30:13.355133	6.44000000e+00	-1.50000000e+00	2.00000000e+00	2.00000000e-02	0	Group5	25678	Old SMU	Lesker4x4	2	2	-1.36000000e+00	-1.63969000e-04	-2.54610248e+00	1.36000000e+00
7.51770745e+02	2024-06-11T13:30:13.845127	6.44000000e+00	-1.50000000e+00	2.00000000e+00	2.00000000e-02	0	Group5	25678	Old SMU	Lesker4x4	2	2	-1.34000000e+00	-1.59077600e-04	-2.47014907e+00	1.34000000e+00
7.52280142e+02	2024-06-11T13:30:14.355686	6.44000000e+00	-1.50000000e+00	2.00000000e+00	2.00000000e-02	0	Group5	25678	Old SMU	Lesker4x4	2	2	-1.32000000e+00	-1.56072100e-04	-2.42347981e+00	1.32000000e+00
7.52797867e+02	2024-06-11T13:30:14.875645	6.44000000e+00	-1.50000000e+00	2.00000000e+00	2.00000000e-02	0	Group5	25678	Old SMU	Lesker4x4	2	2	-1.30000000e+00	-1.56159800e-04	-2.42484161e+00	1.30000000e+00
7.53301523e+02	2024-06-11T13:30:15.376155	6.44000000e+00	-1.50000000e+00	2.00000000e+00	2.00000000e-02	0	Group5	25678	Old SMU	Lesker4x4	2	2	-1.28000000e+00	-1.57138200e-04	-2.44003416e+00	1.28000000e+00
